crossing,highway,natural,lanes,maxspeed,name,oneway,ref,surface,junction,bridge,layer,source,alt_name,building,service,intermittent,water,alt_name2,landuse,building:levels,alt_name:en,footway,access,shop,smoothness,width,amenity,healthcare,operator,operator:type,area_m2,length_m
,residential,,,,Rua Ana Francisca de Souza,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,60.56304661454203
,residential,,,,Rua 56 A,,,paved,,,,,Rua Cinquenta e Seis A,,,,,,,,,,,,,,,,,,0.0,63.416596679269105
,residential,,,,Rua 82 A,,,paved,,,,,Rua Oitenta e Dois A,,,,,,,,,,,,,,,,,,0.0,64.24984961653324
,residential,,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,59.36430076562901
,residential,,,,Rua 23,,,paved,,,,,Rua Vinte e Três,,,,,,,,,,,,,,,,,,0.0,65.42815695442877
,residential,,,,Rua 54,,,paved,,,,,Rua Cinquenta e Quatro,,,,,,,,,,,,,,,,,,0.0,62.66658664467715
,residential,,,,Rua 24,,,paved,,,,,Rua Vinte e Quatro,,,,,,,,,,,,,,,,,,0.0,64.25395507181315
,residential,,,,Rua Doutor Bezerra de Menezes,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,64.2711104485587
,residential,,,,Rua 11,,,paved,,,,,Rua Onze,,,,,,,,,,,,,,,,,,0.0,66.32561919657269
,residential,,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,63.38122275568953
,residential,,,,Rua 7,,,paved,,,,,Rua Sete,,,,,,,,,,,,,,,,,,0.0,53.592977782115554
,residential,,,,Rua 85,,,paved,,,,,Rua Oitenta e Cinco,,,,,,,,,,,,,,,,,,0.0,62.77238709277766
,residential,,,,Rua 22,,,paved,,,,,Rua Vinte e Dois,,,,,,,,,,,,,,,,,,0.0,60.22207443472405
,residential,,,,Rua 33,,,paved,,,,,Rua Trinta e Três,,,,,,,,,,,,,,,,,,0.0,62.25549095797717
,residential,,,,Rua Fernando Soares Pessanha,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,63.13460706698025
